,id,name,images
0,4phGZZrJZRo4ElhRtViYdl,Jason Mraz,https://i.scdn.co/image/ab67616100005174c3b370fc26c83312db52af14
1,1I7oHjCjMrMUz66v67yJJu,Joshua Hyslop,https://i.scdn.co/image/ab67616100005174f95f573a3ba97ec1e90b0f32
2,7CQwac16i1W5ej8YpuL3dv,Boyce Avenue,https://i.scdn.co/image/ab67616100005174227c30a483da30759b462071
3,3UAk61T8PItbpgEi9u7ofY,Andrew Belle,https://i.scdn.co/image/ab67616100005174bc1b1e1978b27d8991ec4f9e
4,4PM86aECDhcdwuJNZNrR22,Chris Smither,https://i.scdn.co/image/ab67616100005174417552d79f541836a1fb7344
5,6JVRYNneRsYNInT4TNr5vU,Matt Wertz,https://i.scdn.co/image/ab6761610000517441f1ca2530ca4d3e3c2513cb
6,6Yuow6YoiBaVPFNjZ5BQi7,Green River Ordinance,https://i.scdn.co/image/ab67616100005174d52ef68c2f1bb178df0d5c3c
7,49RRjdOtssOA73G9NnVeUM,Tristan Prettyman,https://i.scdn.co/image/ab676161000051743db63171685721926d87f144
8,7J2lZBANizgPNfUzux31PV,David Gray,https://i.scdn.co/image/ab67616100005174ad195e6f0f6f25b5d072e445
9,0mXTJETA4XUa12MmmXxZJh,Eddie Vedder,https://i.scdn.co/image/ab6761610000517498a58862098f8be6496ba9d6
10,6J7rw7NELJUCThPbAfyLIE,The Civil Wars,https://i.scdn.co/image/ab676161000051740bae8ba82eaf7e63af515c9f
11,3w6zswp5THsSKYLICUbDTZ,Gabrielle Aplin,https://i.scdn.co/image/ab67616100005174aac010f3b621faf4d8346ada
12,6lqmbDjxe5rhvXIyfNl23o,Harley Poe,https://i.scdn.co/image/ab676161000051749aacbe137efd78e21355c1aa
13,6CmXhyslohOFRJMtPpRm4O,Ron Pope,https://i.scdn.co/image/ab67616100005174fd6430e9729b8a9e568db402
14,2Sqr0DXoaYABbjBo9HaMkM,Sara Bareilles,https://i.scdn.co/image/ab6761610000517483a5e11367a1af10a319a6ac
15,0dIGBGRHRiNzdTpZofcJ3Z,Meiko Nakahara,https://i.scdn.co/image/ab67616d00001e02a4120249788258d45bc99a79
16,39x8gyJjTHiBQklFgVJSV4,Eric Hutchinson,https://i.scdn.co/image/ab676161000051742944ddf9ca86ff1ddac00f08
17,5nHR37FDSU4I0QQta0AZ1C,Ross Copperman,https://i.scdn.co/image/ab6761610000517426f38e7b1546d4887085b645
18,4igDSX1kgfWbVTDCywcBGm,Johnnyswim,https://i.scdn.co/image/ab676161000051743c6efd4fd4455529e3a42961
19,5fMgURSyarojCEH6DFZ8D6,Muhammad Abdul Jabbar,https://i.scdn.co/image/ab67616d00001e0242b5f8ca93687f912aa4bba7
20,3oOlOS93V6ex5t5lrvZ7s7,Not Half Bad,https://i.scdn.co/image/ab67616100005174b1accef8d6946d73479cb869
21,5dTYaRzOn4rXGBLH052EeQ,A Fine Frenzy,https://i.scdn.co/image/d372f195f29d92e353ac14b45a4cb998d51b6546
22,14CHVeJGrR5xgUGQFV5BVM,Fivio Foreign,https://i.scdn.co/image/ab67616100005174366afadc7bfc1671fb1d4f2c
23,6nZs04GLkNYMWY2WMHfEpz,Chad Hates George,https://i.scdn.co/image/ab67616d00001e02bc3037eaa0ff1327b151c419
24,6ckHURH4vaNUiIsoFanfX8,Kidd Manny,https://i.scdn.co/image/ab676161000051742cd0db98dbbf352a7f2e0a9a
25,4MBIFx8pthemIVuEJSgAxb,David Ramirez,https://i.scdn.co/image/ab67616100005174c9059c1c2347bfa1afec94c8
26,6ignRjbPmLvKdtMLj9a5Xs,Ichiko Aoba,https://i.scdn.co/image/ab676161000051740492fac92c61b57890860332
27,0QrowybipCKUDnq5y10PD2,Amos Lee,https://i.scdn.co/image/ab676161000051744e61af570630c5a619ae1b28
28,1TRZYAlP0bNz0dZCbWAjsI,Steve Petrunak,https://i.scdn.co/image/ab676161000051742e91ea79189b4cade71f3f9a
29,2zwHaEmXxX6DTv4i8ajNCM,Kris Allen,https://i.scdn.co/image/ab6761610000517497194749e90947c5ed53695a
30,1g9zG323vBvafWMplgUEQx,Ann Sally,https://i.scdn.co/image/ab676161000051749f8770ce7ea9a8b3fdd7ac11
31,2vm8GdHyrJh2O2MfbQFYG0,Ingrid Michaelson,https://i.scdn.co/image/ab676161000051743608d10bdd51605b8e900a09
32,2gzH4rGNFJeNg13yv2uI4L,Jon Bryant,https://i.scdn.co/image/ab67616100005174ee0630ca32da9f5f900073bc
33,0xeI9Z0Uhs8bYGBRpqq88X,Otis Spann,https://i.scdn.co/image/081902e6611e7cf833ed5c5f1c639ef96df0015d
34,7omzannyG2lfDqP5xyZo34,Joshua Radin,https://i.scdn.co/image/ab676161000051749091a5f6d059a254d4d2f584
